Year,Month,Arrivals,Peak_Season,Philippine_Holidays,Top10Market_Holidays,Avg_HighTemp,Avg_LowTemp,Precipitation,Inflation_Rate,is_December,is_Lockdown
2016,January,57498,0,2,17,31,24,0.1,1.6,0,0
2016,February,65097,0,2,20,30,24,0.17,1.7,0,0
2016,March,58104,0,3,9,32,24,0.04,1.5,0,0
2016,April,56530,0,1,6,32,25,0.07,1.6,0,0
2016,May,58776,0,2,22,33,26,0.29,1.7,0,0
2016,June,50258,0,1,8,32,26,0.74,2.4,0,0
2016,July,49526,0,1,3,32,25,0.43,2.3,0,0
2016,August,42873,1,2,4,32,26,0.27,2.6,0,0
2016,September,34808,0,2,10,32,26,0.63,2.6,0,0
2016,October,42119,0,1,14,31,25,0.95,2.5,0,0
2016,November,51750,0,2,7,31,24,0.72,2.9,0,0
2016,December,52746,1,5,13,31,24,0.4,3.3,1,0
2017,January,90596,0,3,33,30,24,0.67,3.7,0,0
2017,February,90575,0,0,6,30,24,0.22,3.7,0,0
2017,March,58003,0,0,2,30,24,0.61,3.9,0,0
2017,April,56453,0,4,13,31,25,0.23,4.1,0,0
2017,May,90575,0,1,23,32,26,0.6,3.3,0,0
2017,June,50169,0,2,5,32,25,0.55,2.4,0,0
2017,July,49431,0,0,3,31,25,0.8,3.1,0,0
2017,August,41965,1,2,4,32,25,0.57,3,0,0
2017,September,34409,0,1,3,31,25,0.82,3.2,0,0
2017,October,41123,0,1,18,31,25,0.61,4,0,0
2017,November,50858,0,2,9,32,25,0.61,3.8,0,0
2017,December,50280,1,3,11,31,24,0.83,3.5,1,0
2018,January,75327,0,1,21,30,24,0.78,3.2,0,0
2018,February,70405,0,2,16,31,24,0.67,4.9,0,0
2018,March,70552,0,3,7,31,24,0.16,4.7,0,0
2018,April,75403,0,1,9,32,25,0.27,5.6,0,0
2018,May,72422,0,2,21,32,25,0.37,5.2,0,0
2018,June,74348,0,2,6,32,26,0.3,6.6,0,0
2018,July,76164,0,0,3,32,25,0.36,7.2,0,0
2018,August,81452,1,2,4,33,25,0.27,7,0,0
2018,September,66470,0,0,15,31,25,0.54,7.7,0,0
2018,October,76457,0,0,11,32,25,0.34,7.3,0,0
2018,November,69652,0,3,8,31,24,0.68,6.7,0,0
2018,December,54720,1,4,13,31,24,0.78,6,1,0
2019,January,132976,0,1,14,30,24,0.34,4.2,0,0
2019,February,90241,0,2,22,30,23,0.07,3.8,0,0
2019,March,74341,0,0,6,30,23,0.08,2.6,0,0
2019,April,63554,0,4,15,31,24,0.1,1.6,0,0
2019,May,79494,0,2,24,33,26,0.2,1.3,0,0
2019,June,79877,0,2,4,32,26,0.41,0.7,0,0
2019,July,71833,0,0,4,32,25,0.56,-0.1,0,0
2019,August,72834,1,3,5,32,26,0.26,-1,0,0
2019,September,82345,0,0,9,32,25,0.43,-2.3,0,0
2019,October,84317,0,0,18,32,25,0.59,-2.3,0,0
2019,November,88082,0,3,8,32,25,0.39,-1.4,0,0
2019,December,107752,1,5,10,31,25,0.43,0.3,1,0
2020,January,21001,0,2,37,31,25,0.14,1.2,0,0
2020,February,33856,0,1,9,31,24,0.24,0.3,0,0
2020,March,11851,0,0,3,31,24,0.44,0.8,0,1
2020,April,638,0,3,49,32,24,0.08,1.1,0,1
2020,May,153,0,2,13,33,26,0.5,2.3,0,1
2020,June,107,0,1,3,32,25,0.8,2.9,0,1
2020,July,367,0,1,0,32,25,0.62,2.7,0,1
2020,August,654,1,2,0,31,25,0.48,3,0,1
2020,September,889,0,0,6,32,24,0.56,3,0,1
2020,October,1574,0,0,8,32,24,0.9,1.9,0,1
2020,November,2826,0,3,2,32,24,0.38,2.1,0,1
2020,December,10664,1,5,17,31,24,0.74,2.3,1,0
2021,January,4263,0,1,15,30,23,0.85,2.8,0,0
2021,February,6746,0,2,13,30,23,0.71,3.3,0,0
2021,March,4447,0,0,0,32,23,0.38,3.3,0,0
2021,April,5901,0,4,3,32,24,0.31,2.9,0,0
2021,May,6372,0,2,12,33,25,0.7,1.6,0,0
2021,June,11926,0,1,5,32,25,0.44,1.6,0,0
2021,July,7334,0,1,7,33,25,0.47,1.5,0,0
2021,August,3753,1,2,3,32,25,0.5,2.2,0,0
2021,September,5418,0,0,15,31,25,0.78,3,0,0
2021,October,11824,0,0,17,31,25,1.02,3.4,0,0
2021,November,11260,0,2,7,31,25,0.9,3.9,0,0
2021,December,12270,1,3,21,30,25,1.03,1.8,1,0
2022,January,7029,0,1,27,30,24,0.39,2.5,0,0
2022,February,15450,0,2,11,30,24,0.25,3.1,0,0
2022,March,23567,0,0,5,31,25,0.64,5,0,0
2022,April,21597,0,4,18,31,25,1.67,5.2,0,0
2022,May,21765,0,2,26,31,25,0.86,4.8,0,0
2022,June,33630,0,1,9,32,25,0.56,5.2,0,0
2022,July,36175,0,1,4,32,25,0.8,7.6,0,0
2022,August,38115,1,2,7,31,25,0.68,8,0,0
2022,September,29633,0,0,16,32,26,0.45,8.3,0,0
2022,October,35641,0,1,14,31,26,1.11,8.4,0,0
2022,November,37466,0,2,9,31,26,0.69,8.7,0,0
2022,December,50383,1,4,13,29,25,1.03,10.4,1,0
2023,January,55321,0,2,45,28,25,1.84,10.3,0,0
2023,February,52341,0,2,9,29,25,1.19,9.4,0,0
2023,March,55664,0,0,3,30,25,0.22,7.8,0,0
2023,April,57980,0,5,17,33,25,0.23,7.4,0,0
2023,May,55678,0,1,22,32,26,0.63,7.1,0,0
2023,June,56624,0,2,14,32,26,0.73,5.9,0,0
2023,July,61441,0,0,5,31,26,0.84,4.2,0,0
2023,August,68938,1,2,4,33,27,0.35,6,0,0
2023,September,55246,0,0,12,31,26,0.53,6.4,0,0
2023,October,55503,0,1,21,30,26,0.49,5,0,0
2023,November,59808,0,3,11,30,26,0.79,4.6,0,0
2023,December,68828,1,6,12,30,26,0.48,5.2,1,0
2024,January,72264,0,1,15,29,26,0.24,3.8,0,0
2024,February,65976,0,2,24,29,25,0.21,4,0,0
2024,March,67741,0,3,8,29,26,0.08,3.3,0,0
2024,April,71858,0,2,16,30,27,0.07,4.3,0,0
2024,May,72783,0,1,27,31,27,0.16,5.1,0,0
2024,June,66344,0,2,4,30,26,0.96,5.2,0,0
2024,July,71180,0,0,4,30,26,1.01,4.9,0,0
2024,August,74329,1,2,4,30,27,0.53,2.1,0,0
2024,September,63784,0,0,11,30,27,1.05,1.6,0,0
2024,October,66896,0,0,19,30,26,0.77,2.9,0,0
2024,November,79680,0,3,12,30,26,0.5,1.8,0,0
2024,December,84679,1,5,13,29,26,1.13,3.4,1,0
2025,January,80403,0,2,33,29,26,0.77,2.7,0,0
2025,February,84915,0,0,8,29,26,0.74,2.9,0,0
2025,March,84227,0,0,4,29,26,0.59,2.9,0,0
2025,April,81371,0,5,14,30,26,0.22,2,0,0
2025,May,81698,0,2,26,30,26,0.29,1.7,0,0
2025,June,77658,0,2,7,30,26,0.31,1.5,0,0
2025,July,71891,0,1,4,30,27,0.18,1.3,0,0
2025,August,76505,1,2,4,29,26,0.2,1.5,0,0
2025,September,56540,0,0,5,30,26,0.41,1.4,0,0
2025,October,55173,0,1,23,29,26,0.47,1,0,0
2025,November,70342,0,3,12,29,26,0.14,1.6,0,0
2025,December,90924,1,5,15,30,26,0.24,0.2,1,0