2016,January,South Korea,China,USA,Germany,Australia,France,Sweden,Russia,United Kingdom,Switzerland,Total
,,1,1,2,1,2,1,2,6,1,0,17
2016,February,China,South Korea,USA,France,Germany,Singapore,Taiwan,Japan,Australia,United Kingdom,Total
,,5,3,1,0,0,2,8,1,0,0,20
2016,March,China ,South Korea,USA,France,Japan,Germany,Australia,United Kingdom,Taiwan,Switzerland,Total
,,0,1,0,1,2,2,2,1,0,0,9
2016,April,China,South Korea,USA,France,Germany,Australia,United Kingdom,Japan,Switzerland,Russia,Total
,,3,1,0,0,0,1,0,1,0,0,6
2016,May,China,South Korea,USA,France,Japan,Germany,United Kingdom,Switzerland,Australia,Russia,Total
,,2,3,1,4,3,3,2,0,0,4,22
2016,June,China,South Korea,Japan,USA,Australia,Taiwan,United Kingdom,Singapore,France,Russia,Total
,,3,1,0,0,0,2,0,0,0,2,8
2016,July,China,South Korea,USA,Taiwan,Australia,Germany,Japan,France,United Kingdom,Denmark,Total
,,0,0,1,0,0,0,1,1,0,0,3
2016,August,China,South Korea,Japan,USA,Spain,Taiwan,France,United Kingdom,Germany,Australia,Total
,,0,1,1,0,1,0,1,0,0,0,4
2016,September,South Korea,China,USA,Taiwan,Japan,France,Germany,Australia,United Kingdom,Switzerland,Total
,,3,3,1,1,2,0,0,0,0,0,10
2016,October,China,South Korea,USA,Japan,Taiwan,Germany,Australia,France,United Kingdom,Israel,Total
,,3,2,1,1,1,1,0,0,0,5,14
2016,November,China,South Korea,Taiwan,USA,Russia,Germany,Australia,Japan,United Kingdom,France,Total
,,0,0,0,2,1,0,0,2,0,2,7
2016,December,China,South Korea,USA,France,Germany,Japan,Taiwan,Sweden,Russia,United Kingdom,Total
,,0,1,2,1,2,2,0,2,0,3,13
2017,January,China,South Korea,USA,Japan,Taiwan,France,Australia,Germany,United Kingdom,Singapore,Total
,,4,3,4,4,7,1,2,1,2,5,33
2017,February,China,South Korea,USA,Japan,Taiwan,France,Australia,Germany,United Kingdom,Singapore,Total
,,0,0,1,1,4,0,0,0,0,0,6
2017,March,China,South Korea,USA,France,Japan,Germany,Australia,United Kingdom,Taiwan,Switzerland,Total
,,0,1,0,0,1,0,0,0,0,0,2
2017,April,China,South Korea,USA,France,Germany,Australia,United Kingdom,Japan,Switzerland,Russia,Total
,,5,0,0,1,2,3,1,1,0,0,13
2017,May,China,South Korea,USA,Japan,Taiwan,France,Australia,Germany,United Kingdom,Singapore,Total
,,4,4,1,3,2,3,0,2,2,2,23
2017,June,China,South Korea,Japan,USA,Australia,Taiwan,United Kingdom,Singapore,France,Russia,Total
,,0,1,0,0,0,0,0,2,1,1,5
2017,July,China,South Korea,USA,Taiwan,Australia,Germany,Japan,France,United Kingdom,Denmark,Total
,,0,0,1,0,0,0,1,1,0,0,3
2017,August,China,South Korea,Japan,USA,Spain,Taiwan,France,United Kingdom,Germany,Australia,Total
,,0,1,1,0,1,0,1,0,0,0,4
2017,September,South Korea,China,USA,Taiwan,Japan,France,Australia,United Kingdom,Germany,Spain,Total
,,0,0,1,0,2,0,0,0,0,0,3
2017,October,China,South Korea,USA,Japan,Taiwan,Australia,Germany,France,United Kingdom,Israel,Total
,,5,5,1,1,2,0,2,0,0,2,18
2017,November,China,South Korea,Taiwan,USA,Russia,Germany,Australia,Japan,United Kingdom,France,Total
,,0,0,0,3,2,0,0,2,0,2,9
2017,December,China,South Korea,USA,France,Germany,Japan,Russia,Sweden,Taiwan,United Kingdom,Total
,,0,1,1,1,2,2,0,2,0,2,11
2018,January,South Korea,China,Taiwan,USA,France,Russia,Germany,Japan,Poland,United Kingdom,Total
,,1,1,1,2,1,7,1,4,2,1,21
2018,February,China,South Korea,Taiwan,USA,France,Japan,Germany,United Kingdom,Russia,Sweden,Total
,,3,2,7,1,0,2,0,0,1,0,16
2018,March,China,South Korea,Taiwan,France,USA,Germany,Japan,Australia,United Kingdom,Russia,Total
,,0,1,0,0,0,1,1,1,1,2,7
2018,April,China,South Korea,Taiwan,USA,France,Australia,Germany,United Kingdom,Japan,Switzerland,Total
,,1,0,2,0,1,2,1,0,2,0,9
2018,May,China,South Korea,USA,Taiwan,Germany,United Kingdom,Japan,France,Australia,Hong Kong,Total
,,1,4,1,1,3,2,3,4,0,2,21
2018,June,China,South Korea,Taiwan,USA,Australia,Japan,United Kingdom,Germany,Russia,France,Total
,,1,2,1,0,0,0,0,0,2,0,6
2018,July,China,South Korea,USA,Taiwan,Australia,Germany,Japan,United Kingdom,Spain,France,Total
,,0,0,1,0,0,0,1,0,0,1,3
2018,August,China,South Korea,Taiwan,Japan,USA,Spain,Australia,France,Germany,United Kingdom,Total
,,0,1,0,1,0,1,0,1,0,0,4
2018,September,China,South Korea,Taiwan,USA,Japan,Australia,Israel,Germany,Hong Kong,Spain,Total
,,1,4,1,1,3,0,4,0,1,0,15
2018,October,China,South Korea,Taiwan,USA,United Kingdom,Germany,Australia,Japan,France,Hong Kong,Total
,,3,2,1,1,0,1,0,1,0,2,11
2018,November,China,South Korea,Taiwan,USA,United Kingdom,Japan,Australia,Germany,France,Spain,Total
,,0,0,0,3,0,2,0,0,2,1,8
2018,December,South Korea,China,USA,Taiwan,Australia,Germany,France,United Kingdom,Japan,Switzerland,Total
,,1,0,2,0,2,2,1,2,3,0,13
2019,January,China,South Korea,USA,Japan,Hong Kong,Brunei,Taiwan,France,Canada,Germany,Total
,,1,1,2,4,1,1,1,1,1,1,14
2019,February,China,South Korea,Taiwan,Japan,USA,France,Canada,Germany,Russia,United Kingdom,Total
,,7,2,10,1,1,0,0,0,1,0,22
2019,March,China,South Korea,Taiwan,USA,France,Canada,Germany,Russia,Japan,Myanmar,Total
,,0,1,0,0,0,0,0,1,1,3,6
2019,April,China,South Korea,Taiwan,USA,United Kingdom,Japan,France,Hong Kong,Germany,,Total
,,3,0,2,0,1,2,1,4,2,,15
2019,May,China,South Korea,Taiwan,USA,Japan,France,United Kingdom,Canada,Spain,Germany,Total
,,3,4,1,1,6,3,2,1,1,2,24
2019,June,China,South Korea,Japan,Taiwan,USA,Hong Kong,United Kingdom,Canada,Spain,,Total
,,1,1,0,1,0,1,0,0,0,,4
2019,July,China,South Korea,Japan,Taiwan,USA,Hong Kong,Australia,Spain,Germany,Canada,Total
,,0,0,1,0,1,1,0,0,0,1,4
2019,August,China,South Korea,Japan,Taiwan,USA,Spain,France,Germany,Australia,Hong Kong,Total
,,0,1,2,0,0,1,1,0,0,0,5
2019,September,China,South Korea,Japan,Taiwan,Hong Kong,USA,Spain,Germany,Australia,Peru,Total
,,1,3,2,1,1,1,0,0,0,0,9
2019,October,China,South Korea,Japan,Taiwan,USA,Australia,Hong Kong,Peru,Germany,France,Total
,,7,2,2,1,1,0,2,2,1,0,18
2019,November,China,South Korea,Taiwan,Japan,Russia,USA,Germany,Hong Kong,United Kingdom,France,Total
,,0,0,0,3,1,2,0,0,0,2,8
2019,December,China,South Korea,Taiwan,USA,Russia,Hong Kong,Japan,Canada,Peru,,Total
,,0,1,0,2,0,2,1,2,2,,10
2020,January,China,South Korea,Taiwan,USA,Japan,France,Russia,United Kingdom,Australia,Canada,Total
,,9,3,8,2,4,1,6,1,2,1,37
2020,February,South Korea,China,USA,Taiwan,France,United Kingdom,Japan,Germany,Russia,Guam,Total
,,0,2,1,1,0,0,3,0,2,0,9
2020,March,South Korea,USA,China,France,United Kingdom,Taiwan,Japan,Guam,Germany,Sweden,Total
,,1,0,0,0,0,0,1,1,0,0,3
2020,April,China,Russia,Hong Kong,Ireland,United Kingdom,Switzerland,Laos,Malaysia,Myanmar,Singapore,Total
,,3,30,5,1,1,0,3,0,5,1,49
2020,May,China,Russia,Netherlands,,,,,,,,Total
,,5,5,3,,,,,,,,13
2020,June,Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Singapore,,,,Total
,,1,0,1,0,1,0,0,,,,3
2020,July,,,,,,,,,,,Total
,,,,,,,,,,,,0
2020,August,,,,,,,,,,,Total
,,,,,,,,,,,,0
2020,September,Guam,Russia,Brunei,Cambodia,Indonesia,Laos,Malaysia,,,,Total
,,1,0,0,4,0,0,1,,,,6
2020,October,China,,,,,,,,,,Total
,,8,,,,,,,,,,8
2020,November,USA,Taiwan,,,,,,,,,Total
,,2,0,,,,,,,,,2
2020,December,China,Korea,USA,United Kingdom,Sweden,Poland,Singapore,Luxembourg,Thailand,Japan,Total
,,0,1,2,3,2,2,1,2,3,1,17
2021,January,Australia,Ireland,Spain,China,Hong Kong,USA,Germany,France,Switzerland,Denmark,Total
,,2,1,2,3,1,3,1,1,0,1,15
2021,February,China,Hong Kong,USA,Ireland,Spain,Korea,Canada,Germany,Australia,Switzerland,Total
,,7,3,1,0,0,2,0,0,0,0,13
2021,March,China,,,,,,,,,,Total
,,0,,,,,,,,,,0
2021,April,China,,,,,,,,,,Total
,,3,,,,,,,,,,3
2021,May,China,Korea,Hong Kong,USA,Canada,,,,,,Total
,,5,3,2,1,1,,,,,,12
2021,June,USA,India,Spain,China,United Kingdom,France,,,,,Total
,,2,0,0,3,0,0,,,,,5
2021,July,India,Colombia,China,United Kingdom,USA,Spain,Germany,Belgium,France,Denmark,Total
,,1,2,0,0,2,0,0,1,1,0,7
2021,August,United Kingdom,Italy,Japan,,,,,,,,Total
,,0,1,2,,,,,,,,3
2021,September,China,Korea,Israel,Canada,Germany,Spain,Japan,Belgium,Australia,,Total
,,3,3,5,2,0,0,2,0,0,,15
2021,October,China,USA,United Kingdom,Spain,Brazil,Peru,Japan,France,Korea,Israel,Total
,,7,1,0,1,2,2,0,0,4,0,17
2021,November,USA,China,India,France,Spain,Australia,Vietnam,Israel,United Kingdom,Italy,Total
,,2,0,2,2,0,0,0,0,0,1,7
2021,December,USA,Taiwan,India,China,Colombia,New Zealand,Korea,Sri Lanka,United Kingdom,Italy,Total
,,3,1,1,0,2,4,1,2,4,3,21
2022,January,China,Australia,Taiwan,USA,Canada,France,Korea,Israel,Russia,Nauru,Total
,,4,2,2,2,2,1,2,0,9,3,27
2022,February,Korea,USA,Germany,United Kingdom,Australia,Malaysia,Spain,France,China,Canada,Total
,,2,1,0,0,0,2,0,0,6,0,11
2022,March,France,USA,China,United Kingdom,Japan,Korea,Switzerland,India,Spain,Singapore,Total
,,0,0,0,0,1,2,0,2,0,0,5
2022,April,USA,China,France,United Kingdom,Israel,Korea,New Zealand,Japan,Netherlands,Germany,Total
,,0,4,1,1,2,0,3,1,4,2,18
2022,May,USA,China,France,Korea,Germany,Australia,Spain,Japan,Singapore,Malaysia,Total
,,1,4,3,3,2,0,0,3,5,5,26
2022,June,Korea,USA,China,France,Germany,Australia,Singapore,United Arab Emirates,Switzerland,Canada,Total
,,2,2,3,1,1,0,0,0,0,0,9
2022,July,Korea,USA,Union Of Serbia And Montenegro,Switzerland,China,Spain,Guam,France,Norway,Taiwan,Total
,,0,1,0,0,0,0,2,1,0,0,4
2022,August,Korea,USA,Italy,Spain,Netherlands,Germany,France,China,Australia,India,Total
,,1,0,1,1,0,0,1,0,0,3,7
2022,September,Korea,USA,Hong Kong,Spain,China,Guam,United Kingdom,Ireland,Canada,Nepal,Total
,,4,1,1,0,3,1,1,0,3,2,16
2022,October,Korea,China,Japan,Jordan,Canada,USA,United Kingdom,France,Switzerland,Russia,Total
,,3,7,1,1,1,1,0,0,0,0,14
2022,November,Korea,Spain,France,USA,Belgium,United Kingdom,Germany,China,Poland,Netherlands,Total
,,0,1,2,2,2,0,0,0,2,0,9
2022,December,Korea,USA,Hong Kong,China,Japan,Taiwan,Canada,France,Germany,Malaysia,Total
,,1,2,2,0,1,0,2,1,2,2,13
2023,January,Korea,Taiwan,USA,China,Canada,Germany,Japan,France,Hong Kong,United Kingdom,Total
,,5,12,3,9,2,1,4,1,6,2,45
2023,February,Korea,Taiwan,USA,China,France,Germany,Russia,Japan,Canada,Hong Kong,Total
,,0,4,1,0,0,0,2,2,0,0,9
2023,March,Korea,Taiwan,USA,France,Hong Kong,China,Germany,Russia,Japan,Canada,Total
,,1,0,0,0,0,0,0,1,1,0,3
2023,April,Korea,Taiwan,China,USA,Hong Kong,France,Russia,Japan,Germany,United Kingdom,Total
,,0,5,3,0,4,1,0,1,2,1,17
2023,May,Korea,Taiwan,China,USA,France,Japan,Hong Kong,Germany,Canada,Australia,Total
,,4,1,3,1,4,3,2,3,1,0,22
2023,June,Korea,Taiwan,USA,China,Japan,Hong Kong,Canada,Germany,Russia,Malaysia,Total
,,1,4,1,3,0,1,0,0,1,3,14
2023,July,Korea,Taiwan,China,USA,Japan,Canada,Hong Kong,Germany,France,United Kingdom,Total
,,0,0,0,1,1,1,1,0,1,0,5
2023,August,Korea,China,Taiwan,USA,Japan,Spain,Hong Kong,Germany,Canada,Malaysia,Total
,,1,0,0,0,1,1,0,0,0,1,4
2023,September,Korea,China,Taiwan,USA,Japan,Germany,Hong Kong,Singapore,Spain,United Kingdom,Total
,,3,2,2,1,2,0,1,1,0,0,12
2023,October,Korea,China,Taiwan,USA,Japan,Hong Kong,Germany,Singapore,Canada,Malaysia,Total
,,3,6,5,1,1,3,1,0,1,0,21
2023,November,Korea,China,Taiwan,USA,Japan,France,Germany,Russia,Singapore,Hong Kong,Total
,,0,0,0,3,2,2,0,2,2,0,11
2023,December,Korea,China,Taiwan,USA,Japan,Singapore,Germany,Canada,Russia,Hong Kong,Total
,,1,0,0,1,1,1,2,2,2,2,12
2024,January,Korea,Taiwan,China,USA,Germany,France,Poland,Japan,United Kingdom,Hong Kong,Total
,,1,1,1,2,1,1,2,4,1,1,15
2024,February,Korea,China,Taiwan,USA,Germany,France,United Kingdom,Canada,Japan,Poland,Total
,,4,8,8,1,0,0,0,0,3,0,24
2024,March,Korea,China,Taiwan,France,Germany,USA,Japan,United Kingdom,Netherlands,Hong Kong,Total
,,1,0,0,0,1,0,1,1,2,2,8
2024,April,Korea,China,Taiwan,USA,France,Russia,Germany,United Kingdom,Japan,Australia,Total
,,1,3,4,0,1,3,1,0,1,2,16
2024,May,Korea,China,Taiwan,USA,France,Germany,Japan,United Kingdom,Hong Kong,Spain,Total
,,4,5,1,1,4,3,4,2,2,1,27
2024,June,Korea,China,Taiwan,USA,Germany,France,Japan,United Kingdom,Australia,Canada,Total
,,1,1,1,1,0,0,0,0,0,0,4
2024,July,Korea,Taiwan,China,USA,United Kingdom,Germany,Japan,Canada,Australia,Hong Kong,Total
,,0,0,0,1,0,0,1,1,0,1,4
2024,August,Korea,China,Taiwan,USA,Germany,Japan,France,United Kingdom,Hong Kong,Canada,Total
,,1,0,0,0,0,2,1,0,0,0,4
2024,September,Korea,China,Taiwan,USA,Japan,Hong Kong,Germany,Singapore,Spain,United Kingdom,Total
,,2,3,1,1,3,1,0,0,0,0,11
2024,October,Korea,China,Taiwan,USA,Japan,Hong Kong,Germany,Singapore,Canada,Malaysia,Total
,,3,7,1,1,1,2,1,1,1,1,19
2024,November,Korea,China,Taiwan,USA,Japan,Germany,Russia,Poland,France,Spain,Total
,,0,0,0,2,3,0,2,2,2,1,12
2024,December,Korea,China,Taiwan,USA,Japan,Germany,France,United Kingdom,Canada,Russia,Total
,,1,0,0,2,1,2,1,2,2,2,13
2025,January,Korea,Taiwan,China,USA,Poland,France,Germany,Australia,Spain,Russia,Total
,,5,6,5,3,2,1,1,2,2,6,33
2025,February,Korea,China,Taiwan,USA,France,Germany,Poland,Israel,United Kingdom,Spain,Total
,,0,4,3,1,0,0,0,0,0,0,8
2025,March,Korea,China,USA,Taiwan,France,Germany,United Kingdom,Russia,Poland,Japan,Total
,,2,0,0,0,0,0,0,1,0,1,4
2025,April,Korea,Taiwan,China,USA,France,United Kingdom,Germany,Australia,Spain,Japan,Total
,,0,2,3,0,1,1,2,3,1,1,14
2025,May,Korea,China,Taiwan,USA,France,Germany,Japan,United Kingdom,Canada,Spain,Total
,,3,6,3,1,3,2,4,2,1,1,26
2025,June,Korea,Taiwan,China,USA,Spain,United Kingdom,Japan,France,Germany,Australia,Total
,,2,0,2,1,0,0,0,1,1,0,7
2025,July,Korea,China,Taiwan,USA,Japan,Hong Kong,Spain,Australia,Canada,Germany,Total
,,0,0,0,1,1,1,0,0,1,0,4
2025,August,Korea,China,Taiwan,USA,Spain,France,United Kingdom,Germany,Japan,Australia,Total
,,1,0,0,0,1,1,0,0,1,0,4
2025,September,Korea,China,USA,Taiwan,Germany,Australia,Spain,Israel,United Kingdom,Japan,Total
,,0,0,1,0,0,0,0,2,0,2,5
2025,October,Korea,China,Taiwan,USA,France,Spain,Canada,Israel,Germany,Australia,Total
,,6,8,2,1,0,1,1,3,1,0,23
2025,November,Korea,USA,Taiwan,China,Germany,France,Russia,Spain,Poland,Japan,Total
,,0,2,0,0,0,2,2,1,2,3,12
2025,December,Korea,Russia,China,USA,Taiwan,Germany,France,United Kingdom,Spain,Australia,Total
,,1,1,0,3,0,2,1,2,3,2,15